delivery_id,supplier_id,supplier_name,po_number,expected_date,actual_date,days_late,on_time,material_code,material_category,quantity,unit_cost,total_cost,quality_score
DEL00111,S006,TechMaterials Group,PO-37871,2023-01-02,2022-12-31,0,True,MAT-566,Aluminum Stock,7855,2.11,16574.05,3.6
DEL00048,S002,FastParts Supply,PO-74616,2023-01-03,2023-01-04,1,False,MAT-215,Tooling,2525,6.62,16715.5,3.9
DEL00146,S007,ReliableSupply Partners,PO-10935,2023-01-06,2023-01-05,0,True,MAT-300,Tooling,6589,5.99,39468.11,4.1
DEL00141,S004,GlobalComponents Ltd,PO-80533,2023-01-06,2023-01-07,1,False,MAT-183,Electronic Components,1370,27.16,37209.2,4.7
DEL00288,S001,SteelCorp Industries,PO-22755,2023-01-08,2023-01-09,1,False,MAT-234,Bearings,5398,37.74,203720.52,4.5
DEL00266,S003,PrecisionMetal Co,PO-58290,2023-01-08,2023-01-12,4,False,MAT-562,Lubricants,7885,25.99,204931.15,4.2
DEL00195,S003,PrecisionMetal Co,PO-68978,2023-01-09,2023-01-10,1,False,MAT-973,Lubricants,9249,1.99,18405.51,3.4
DEL00297,S006,TechMaterials Group,PO-87709,2023-01-11,2023-01-24,13,False,MAT-285,Aluminum Stock,6390,24.47,156363.3,4.4
DEL00229,S008,IndustrialSource LLC,PO-93277,2023-01-11,2023-01-10,0,True,MAT-879,Raw Steel,5309,48.91,259663.19,4.5
DEL00110,S008,IndustrialSource LLC,PO-64646,2023-01-14,2023-01-22,8,False,MAT-943,Raw Steel,2768,7.65,21175.2,3.8
DEL00197,S002,FastParts Supply,PO-80464,2023-01-15,2023-01-28,13,False,MAT-406,Tooling,5442,29.55,160811.1,4.5
DEL00191,S010,ComponentPro Solutions,PO-89171,2023-01-17,2023-01-16,0,True,MAT-241,Electronic Components,8998,45.66,410848.68,3.8
DEL00138,S007,ReliableSupply Partners,PO-44257,2023-01-17,2023-01-28,11,False,MAT-870,Tooling,7517,14.01,105313.17,4.6
DEL00098,S005,QualityAlloys Inc,PO-51116,2023-01-18,2023-01-18,0,True,MAT-452,Tooling,229,41.44,9489.76,4.9
DEL00250,S005,QualityAlloys Inc,PO-88924,2023-01-18,2023-01-17,0,True,MAT-692,Tooling,2744,1.11,3045.84,4.7
DEL00135,S005,QualityAlloys Inc,PO-92864,2023-01-18,2023-01-18,0,True,MAT-317,Tooling,9687,42.11,407919.57,4.0
DEL00077,S010,ComponentPro Solutions,PO-40396,2023-01-19,2023-01-20,1,False,MAT-831,Electronic Components,1094,26.65,29155.1,4.3
DEL00219,S005,QualityAlloys Inc,PO-16259,2023-01-21,2023-01-22,1,False,MAT-956,Tooling,8666,32.23,279305.18,4.6
DEL00131,S009,MetalWorks Direct,PO-49926,2023-01-21,2023-01-20,0,True,MAT-681,Lubricants,6764,22.58,152731.12,4.8
DEL00218,S005,QualityAlloys Inc,PO-30119,2023-01-23,2023-01-23,0,True,MAT-551,Tooling,5966,9.31,55543.46,4.6
DEL00142,S002,FastParts Supply,PO-56267,2023-01-23,2023-01-21,0,True,MAT-932,Tooling,6266,41.46,259788.36,4.2
DEL00274,S008,IndustrialSource LLC,PO-21854,2023-01-26,2023-01-27,1,False,MAT-914,Raw Steel,5552,43.66,242400.32,4.9
DEL00282,S003,PrecisionMetal Co,PO-14501,2023-01-26,2023-02-09,14,False,MAT-713,Lubricants,5345,15.79,84397.55,4.7
DEL00205,S009,MetalWorks Direct,PO-87003,2023-01-26,2023-01-26,0,True,MAT-307,Lubricants,8332,35.98,299785.36,4.4
DEL00223,S009,MetalWorks Direct,PO-15768,2023-01-26,2023-01-25,0,True,MAT-525,Lubricants,8496,5.83,49531.68,4.3
DEL00003,S010,ComponentPro Solutions,PO-64304,2023-01-27,2023-01-26,0,True,MAT-511,Electronic Components,4216,31.44,132551.04,4.3
DEL00286,S009,MetalWorks Direct,PO-12826,2023-01-29,2023-02-01,3,False,MAT-661,Lubricants,6527,17.2,112264.4,4.6
DEL00053,S009,MetalWorks Direct,PO-87883,2023-01-29,2023-01-29,0,True,MAT-773,Lubricants,195,16.81,3277.95,3.9
DEL00081,S007,ReliableSupply Partners,PO-61166,2023-01-30,2023-01-30,0,True,MAT-526,Tooling,6002,39.9,239479.8,4.8
DEL00046,S010,ComponentPro Solutions,PO-16975,2023-01-30,2023-01-31,1,False,MAT-293,Electronic Components,2535,3.2,8112.0,4.0
DEL00193,S007,ReliableSupply Partners,PO-62101,2023-02-01,2023-01-31,0,True,MAT-333,Tooling,3817,36.31,138595.27,4.1
DEL00295,S006,TechMaterials Group,PO-58145,2023-02-03,2023-02-04,1,False,MAT-111,Aluminum Stock,2066,6.27,12953.82,3.6
DEL00208,S004,GlobalComponents Ltd,PO-55453,2023-02-05,2023-02-13,8,False,MAT-817,Electronic Components,4973,19.86,98763.78,4.6
DEL00079,S007,ReliableSupply Partners,PO-12727,2023-02-05,2023-02-06,1,False,MAT-265,Tooling,4818,36.45,175616.1,4.4
DEL00251,S002,FastParts Supply,PO-62122,2023-02-06,2023-02-07,1,False,MAT-823,Tooling,9703,48.72,472730.16,3.9
