event_id,machine_id,machine_type,event_type,description,start_time,duration_hours,cost,labor_hours,parts_cost,root_cause,downtime_impact_hours
ME0001,M007,CNC Mill,unplanned,Bearing wear pattern abnormal. Misalignment suspected.,2024-11-26 00:00:00,7.1,1201.98,10.4,480.93,Insufficient preventive maintenance,9.4
ME0002,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-10-20 00:00:00,5.9,2123.0,5.9,1268.84,N/A,0.0
ME0003,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-02-18 00:00:00,4.1,1221.88,6.3,513.14,N/A,0.0
ME0004,M012,Injection Molder,emergency,Software crash during cycle. Memory leak identified.,2024-05-10 00:00:00,28.6,4748.8,53.1,2393.83,Environmental conditions (humidity/temperature),44.6
ME0005,M002,Lathe,emergency,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-12-05 00:00:00,20.2,1409.29,25.0,711.66,Operator error during setup,34.1
ME0006,M008,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-12-25 00:00:00,5.6,832.25,9.9,355.83,N/A,0.0
ME0007,M006,Injection Molder,unplanned,Software update required to address known bug in motion control.,2024-07-20 00:00:00,20.8,2523.89,39.5,1209.88,Power quality issue from grid,40.4
ME0008,M008,Lathe,unplanned,Electrical fault in control panel. Circuit breaker tripped repeatedly.,2024-12-03 00:00:00,10.5,2249.05,16.2,1070.6,Design limitation under high load,20.7
ME0009,M012,Injection Molder,unplanned,Motor tripped on overload protection during high-demand cycle.,2024-01-09 00:00:00,7.3,570.36,12.9,205.11,Power quality issue from grid,8.8
ME0010,M011,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-09-17 00:00:00,4.8,2027.89,9.3,1004.46,N/A,0.0
ME0011,M012,Injection Molder,emergency,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-08-03 00:00:00,10.5,2849.13,17.6,1360.14,Normal wear and tear,15.0
ME0012,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-09-13 00:00:00,2.5,1854.8,4.3,687.75,N/A,0.0
ME0013,M014,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-02-11 00:00:00,4.1,1211.97,5.9,436.93,N/A,0.0
ME0014,M007,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-08-18 00:00:00,4.3,1814.91,6.0,955.85,N/A,0.0
ME0015,M004,Welding Robot,emergency,Bearing temperature elevated. Lubrication schedule accelerated.,2024-03-02 00:00:00,43.2,4964.39,70.6,2787.2,Design limitation under high load,79.6
ME0016,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-12-13 00:00:00,5.5,979.78,7.5,560.48,N/A,0.0
ME0017,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-08-20 00:00:00,3.7,2090.53,4.8,730.43,N/A,0.0
ME0018,M011,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-06-20 00:00:00,2.9,519.7,3.6,182.15,N/A,0.0
ME0019,M008,Lathe,unplanned,Motor overheating detected during operation. Temperature exceeded threshold by 15 degrees.,2024-04-22 00:00:00,23.2,1633.02,26.7,978.71,Operator error during setup,32.9
ME0020,M002,Lathe,unplanned,Software update required to address known bug in motion control.,2024-05-09 00:00:00,22.2,1578.03,33.9,685.39,Contamination from adjacent process,36.4
ME0021,M007,CNC Mill,unplanned,Bearing temperature elevated. Lubrication schedule accelerated.,2024-04-07 00:00:00,18.6,2155.02,30.3,992.89,Normal wear and tear,23.6
ME0022,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-09-15 00:00:00,4.0,1815.58,6.4,913.73,N/A,0.0
ME0023,M003,Press,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-05-07 00:00:00,5.9,4732.35,9.0,2609.01,Contamination from adjacent process,10.3
ME0024,M009,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-04-08 00:00:00,5.7,2224.01,7.0,783.93,N/A,0.0
ME0025,M009,Press,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-02-06 00:00:00,5.9,4537.47,11.0,1618.12,Normal wear and tear,8.3
