run_id,machine_id,product_code,start_time,end_time,duration_hours,units_produced,units_defective,defect_rate,cycle_time_seconds,operator_id,efficiency_pct,scrap_cost
PR00001,M007,PART-0011,2024-12-14 14:00:00,2024-12-14 23:19:11,9.32,552,6,1.2,51.4,OP011,94.9,102.13
PR00002,M008,PART-0021,2024-05-10 21:00:00,2024-05-10 23:33:50,2.56,368,5,1.46,26.3,OP001,82.0,77.48
PR00003,M004,PART-0044,2024-12-10 16:00:00,2024-12-10 23:14:51,7.25,434,17,4.03,56.2,OP020,88.6,100.79
PR00004,M003,PART-0050,2024-05-14 20:00:00,2024-05-15 02:30:17,6.5,472,22,4.85,53.7,OP009,75.4,211.59
PR00005,M004,PART-0002,2024-09-20 14:00:00,2024-09-20 17:44:01,3.73,425,14,3.48,27.7,OP006,79.8,228.96
PR00006,M005,PART-0014,2024-07-09 17:00:00,2024-07-10 02:45:04,9.75,625,12,1.97,57.1,OP008,94.4,239.36
PR00007,M007,PART-0009,2024-02-22 12:00:00,2024-02-22 15:24:33,3.41,185,1,0.57,56.2,OP001,79.6,5.11
PR00008,M003,PART-0041,2024-03-21 07:00:00,2024-03-21 16:17:24,9.29,747,34,4.67,43.9,OP007,94.6,475.63
PR00009,M001,PART-0027,2024-02-17 22:00:00,2024-02-18 03:06:35,5.11,447,15,3.37,41.9,OP003,85.9,110.88
PR00010,M006,PART-0015,2024-05-10 00:00:00,2024-05-10 09:13:02,9.22,1669,47,2.85,18.8,OP010,85.1,424.62
PR00011,M008,PART-0039,2024-08-18 16:00:00,2024-08-18 21:08:36,5.14,752,8,1.13,24.8,OP013,87.4,72.49
PR00012,M005,PART-0006,2024-06-08 06:00:00,2024-06-08 10:53:51,4.9,703,23,3.31,26.7,OP012,79.3,525.58
PR00013,M003,PART-0013,2024-05-07 22:00:00,2024-05-08 08:57:39,10.96,1694,41,2.42,20.2,OP009,82.0,340.02
PR00014,M003,PART-0041,2024-05-16 04:00:00,2024-05-16 12:55:27,8.92,864,24,2.83,33.3,OP020,83.4,586.46
PR00015,M004,PART-0049,2024-09-24 06:00:00,2024-09-24 12:58:20,6.97,953,47,4.99,22.2,OP002,86.6,283.39
PR00016,M005,PART-0032,2024-08-11 00:00:00,2024-08-11 08:20:36,8.34,1231,33,2.7,20.6,OP006,80.6,608.61
PR00017,M003,PART-0022,2024-07-02 16:00:00,2024-07-03 01:16:55,9.28,637,31,4.93,49.3,OP011,93.8,649.97
PR00018,M001,PART-0019,2024-05-03 05:00:00,2024-05-03 13:57:29,8.96,455,16,3.55,69.2,OP003,93.6,191.57
PR00019,M007,PART-0011,2024-11-03 08:00:00,2024-11-03 16:54:33,8.91,1506,64,4.27,20.3,OP018,96.3,1442.99
PR00020,M003,PART-0012,2024-09-19 15:00:00,2024-09-20 01:10:19,10.17,973,48,4.98,33.0,OP005,95.7,847.78
PR00021,M001,PART-0033,2024-08-20 02:00:00,2024-08-20 11:00:12,9.0,1712,39,2.32,20.0,OP020,76.9,321.07
PR00022,M006,PART-0029,2024-04-13 19:00:00,2024-04-14 02:48:24,7.81,1043,36,3.49,22.4,OP018,78.7,575.09
PR00023,M006,PART-0020,2024-06-11 15:00:00,2024-06-12 02:56:40,11.94,1217,23,1.96,30.8,OP008,94.5,417.5
PR00024,M001,PART-0038,2024-06-24 11:00:00,2024-06-24 18:05:17,7.09,1042,32,3.15,21.4,OP013,86.2,739.9
PR00025,M003,PART-0048,2024-08-13 20:00:00,2024-08-14 03:01:34,7.03,541,23,4.39,46.8,OP019,88.2,468.53
PR00026,M008,PART-0041,2024-01-17 11:00:00,2024-01-17 22:24:16,11.4,1164,25,2.17,37.9,OP005,96.4,339.09
PR00027,M005,PART-0023,2024-04-04 02:00:00,2024-04-04 13:48:11,11.8,1730,38,2.23,21.8,OP001,82.3,318.81
PR00028,M001,PART-0047,2024-08-10 21:00:00,2024-08-11 05:57:37,8.96,1125,16,1.44,23.5,OP002,80.8,174.49
PR00029,M002,PART-0042,2024-09-29 07:00:00,2024-09-29 15:58:12,8.97,835,24,2.99,39.1,OP003,80.9,413.53
PR00030,M004,PART-0014,2024-11-08 03:00:00,2024-11-08 12:58:58,9.98,934,21,2.29,31.6,OP012,95.4,116.6
PR00031,M002,PART-0022,2024-11-17 22:00:00,2024-11-18 06:43:12,8.72,819,24,2.94,36.0,OP017,75.9,514.85
PR00032,M006,PART-0004,2024-04-10 00:00:00,2024-04-10 10:16:43,10.28,968,31,3.3,33.0,OP006,76.2,484.44
PR00033,M007,PART-0030,2024-12-20 22:00:00,2024-12-21 01:23:00,3.38,713,20,2.82,18.7,OP019,93.3,208.33
PR00034,M004,PART-0012,2024-02-27 22:00:00,2024-02-28 02:30:30,4.51,616,14,2.43,21.7,OP001,79.0,113.8
PR00035,M002,PART-0005,2024-04-05 21:00:00,2024-04-06 06:08:45,9.15,1505,42,2.83,21.7,OP003,80.7,509.02
PR00036,M005,PART-0005,2024-03-26 13:00:00,2024-03-26 15:55:04,2.92,227,9,4.35,37.5,OP012,75.4,182.41
PR00037,M005,PART-0005,2024-02-08 03:00:00,2024-02-08 06:43:55,3.73,514,16,3.27,24.0,OP004,76.0,199.88
PR00038,M002,PART-0002,2024-05-26 00:00:00,2024-05-26 07:23:37,7.39,385,18,4.75,67.9,OP017,94.9,319.11
PR00039,M004,PART-0043,2024-05-31 11:00:00,2024-05-31 16:52:54,5.88,853,35,4.15,20.8,OP005,89.4,749.3
PR00040,M008,PART-0050,2024-11-25 10:00:00,2024-11-25 13:57:28,3.96,650,14,2.2,18.9,OP003,82.7,253.6
PR00041,M005,PART-0045,2024-03-30 01:00:00,2024-03-30 05:36:25,4.61,708,25,3.64,19.6,OP011,95.2,492.54
PR00042,M005,PART-0039,2024-09-05 03:00:00,2024-09-05 06:46:27,3.77,516,11,2.17,24.3,OP005,80.5,204.57
PR00043,M007,PART-0025,2024-08-04 02:00:00,2024-08-04 05:01:52,3.03,192,5,2.73,54.5,OP013,95.6,63.92
PR00044,M004,PART-0019,2024-08-20 18:00:00,2024-08-20 20:54:46,2.91,243,11,4.78,46.8,OP015,76.9,75.17
PR00045,M004,PART-0045,2024-01-25 19:00:00,2024-01-26 03:43:30,8.73,923,37,4.05,35.3,OP010,97.4,921.99
PR00046,M002,PART-0010,2024-05-12 02:00:00,2024-05-12 12:52:37,10.88,1126,12,1.14,29.0,OP012,94.9,261.24
PR00047,M006,PART-0037,2024-05-20 07:00:00,2024-05-20 09:43:39,2.73,209,1,0.87,47.4,OP006,97.7,12.49
PR00048,M001,PART-0006,2024-12-07 19:00:00,2024-12-07 23:22:00,4.37,574,22,3.89,30.0,OP019,92.9,355.7
PR00049,M003,PART-0020,2024-07-20 18:00:00,2024-07-20 21:06:43,3.11,544,16,3.07,18.9,OP008,77.7,287.75
PR00050,M001,PART-0032,2024-12-13 16:00:00,2024-12-13 18:49:44,2.83,511,2,0.55,21.7,OP013,76.0,45.65
PR00051,M006,PART-0041,2024-07-31 10:00:00,2024-07-31 21:11:28,11.19,2392,68,2.85,18.4,OP017,91.0,958.18
PR00052,M005,PART-0038,2024-02-23 21:00:00,2024-02-24 02:50:31,5.84,387,2,0.76,59.0,OP012,77.5,23.43
PR00053,M002,PART-0041,2024-12-13 03:00:00,2024-12-13 09:38:13,6.64,705,5,0.85,33.0,OP004,97.7,94.82
PR00054,M001,PART-0018,2024-07-19 00:00:00,2024-07-19 06:06:43,6.11,1246,52,4.2,18.9,OP019,91.7,897.95
PR00055,M002,PART-0001,2024-01-10 17:00:00,2024-01-11 00:30:57,7.52,327,7,2.19,66.7,OP018,97.7,56.06
PR00056,M005,PART-0021,2024-10-08 21:00:00,2024-10-09 07:17:29,10.29,1227,13,1.1,24.5,OP016,76.7,244.85
PR00057,M005,PART-0010,2024-12-16 04:00:00,2024-12-16 15:57:58,11.97,888,42,4.75,50.0,OP019,80.7,588.46
PR00058,M006,PART-0032,2024-01-01 18:00:00,2024-01-01 22:44:50,4.75,218,7,3.52,67.9,OP002,83.2,50.9
PR00059,M002,PART-0044,2024-09-06 01:00:00,2024-09-06 07:45:43,6.76,336,14,4.33,69.2,OP005,77.0,291.71
PR00060,M001,PART-0039,2024-04-21 14:00:00,2024-04-21 20:12:19,6.21,824,33,4.12,26.9,OP006,89.2,812.11
PR00061,M002,PART-0038,2024-04-07 17:00:00,2024-04-07 22:55:20,5.92,685,25,3.77,25.7,OP001,93.0,323.27
PR00062,M007,PART-0010,2024-04-15 18:00:00,2024-04-16 02:58:35,8.98,591,27,4.67,46.2,OP017,80.9,382.93
